Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20
Rk,Player,Age,Team,Pos?,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb
121,Bo Melton,24,GNB,WR,5,1,24,16,218,13.6,1,13,62.5,37,3.2,43.6,66.7,9.1,0
122,John Metchie,23,HOU,WR,16,0,30,16,158,9.9,0,7,43.3,22,1,9.9,53.3,5.3,0
123,Parker Washington,21,JAX,WR,9,1,21,16,132,8.3,2,5,52.4,19,1.8,14.7,76.2,6.3,2
124,Derius Davis,23,LAC,WR,17,2,17,15,66,4.4,0,0,23.5,18,0.9,3.9,88.2,3.9,3
125,Deonte Harty,26,BUF,WR,16,1,21,15,150,10,1,9,52.4,43,0.9,9.4,71.4,7.1,2
126,Malik Heath,23,GNB,WR,13,1,24,15,125,8.3,1,6,41.7,16,1.2,9.6,62.5,5.2,0
127,Andrei Iosivas,24,CIN,WR,16,1,25,15,116,7.7,4,11,60,16,0.9,7.3,60,4.6,0
128,Kyle Philips,24,TEN,WR,9,0,22,15,181,12.1,0,9,50,29,1.7,20.1,68.2,8.2,1
129,Quez Watkins,25,PHI,WR,9,5,21,15,142,9.5,1,8,61.9,19,1.7,15.8,71.4,6.8,0
130,Mecole Hardman,25,2TM,WR,11,2,24,15,124,8.3,0,8,50,37,1.4,11.3,62.5,5.2,1
131,Jamal Agnew,28,JAX,WR,11,1,21,14,225,16.1,1,8,57.1,65,1.3,20.5,66.7,10.7,1
132,David Bell,23,CLE,WR,15,3,23,14,167,11.9,3,9,47.8,41,0.9,11.1,60.9,7.3,0
133,KhaDarel Hodge,28,ATL,WR,17,4,23,14,232,16.6,0,13,60.9,52,0.8,13.6,60.9,10.1,1
134,Byron Pringle,30,WAS,WR,17,1,22,14,161,11.5,0,7,40.9,26,0.8,9.5,63.6,7.3,1
135,Lil'Jordan Humphrey,25,DEN,WR,17,8,19,13,162,12.5,3,9,63.2,54,0.8,9.5,68.4,8.5,0
136,Tyquan Thornton,23,NWE,WR,9,3,23,13,91,7,0,3,17.4,15,1.4,10.1,56.5,4,0
137,Donovan Peoples-Jones,24,2TM,WR,15,6,25,13,155,11.9,0,7,40,29,0.9,10.3,52,6.2,1
138,Dyami Brown,24,WAS,WR,17,1,23,12,168,14,1,8,47.8,35,0.7,9.9,52.2,7.3,0
139,Ray-Ray McCloud,27,SFO,WR,12,1,15,12,135,11.3,0,7,66.7,41,1,11.3,80,9,1
140,A.T. Perry,24,NOR,WR,10,3,18,12,246,20.5,4,10,61.1,44,1.2,24.6,66.7,13.7,0
141,KaVontae Turpin,27,DAL,WR,16,0,18,12,127,10.6,3,9,61.1,34,0.8,7.9,66.7,7.1,1
142,Lynn Bowden Jr.,26,NOR,WR,15,3,16,11,83,7.5,0,2,37.5,17,0.7,5.5,68.8,5.2,1
143,Julio Jones,34,PHI,WR,11,4,19,11,74,6.7,3,4,31.6,22,1,6.7,57.9,3.9,0
144,Tim Jones,25,JAX,WR,17,2,18,11,83,7.5,0,4,38.9,15,0.6,4.9,61.1,4.6,0
145,Isaiah McKenzie,28,IND,WR,13,2,14,11,82,7.5,0,4,35.7,30,0.8,6.3,78.6,5.9,3
146,Scott Miller,26,ATL,WR,17,0,16,11,161,14.6,2,6,50,56,0.6,9.5,68.8,10.1,0
147,Trent Sherfield,27,BUF,WR,17,1,22,11,86,7.8,1,4,40.9,12,0.6,5.1,50,3.9,0
148,Jalen Guyton,26,LAC,WR,8,3,21,10,89,8.9,1,6,38.1,18,1.3,11.1,47.6,4.2,0
149,Richie James,28,KAN,WR,9,1,14,10,114,11.4,0,5,57.1,45,1.1,12.7,71.4,8.1,2
150,Laviska Shenault Jr.,25,CAR,WR,8,0,10,10,60,6,0,2,30,14,1.3,7.5,100,6,1
151,Sterling Shepard,30,NYG,WR,15,2,22,10,57,5.7,1,4,22.7,13,0.7,3.8,45.5,2.6,1
152,Olamide Zaccheaus,26,PHI,WR,17,1,20,10,164,16.4,2,7,50,34,0.6,9.6,50,8.2,0
153,River Cracraft,29,MIA,WR,10,1,12,9,121,13.4,1,8,66.7,24,0.9,12.1,75,10.1,0
154,Xavier Hutchinson,23,HOU,WR,16,0,19,8,90,11.3,0,3,21.1,34,0.5,5.6,42.1,4.7,0
155,Ben Skowronek,26,LAR,WR,17,0,12,8,66,8.3,1,3,41.7,20,0.5,3.9,66.7,5.5,0
156,Ihmir Smith-Marsette,24,CAR,WR,17,0,10,8,51,6.4,0,5,50,18,0.5,3,80,5.1,2
157,Samori Toure,25,GNB,WR,11,0,18,8,78,9.8,0,4,27.8,35,0.7,7.1,44.4,4.3,1
